TextId	Group	Index	Bank	Pointer	StartBit	EndBit	Symbols	Text
000D	00	0D	00	8000	1454	1629	29 0B 0D 12 00 11 0B 13 18 1D 00 47 00 29 22 1A 0F 1C 13 0F 18 0D 0F 00 34 19 13 18 1E 4C 78	Each gains <47> Experience Point<4C>.
000E	00	0E	00	8000	1629	1740	37 1A 0F 16 16 1D 00 0E 19 18 6B 1E 00 1C 0F 0B 0D 12 00 49 6E	Spells don't reach <49>!
000F	00	0F	00	8000	1740	1934	38 12 0F 00 1D 1A 0F 16 16 00 0C 19 1F 18 0D 0F 1D 00 19 10 10 00 1E 12 0F 00 21 0B 16 16 00 19 10 00 16 13 11 12 1E 1D 6E	The spell bounces off the wall of lights!
0010	00	10	00	8000	1934	2054	26 1F 1E 00 1D 1A 0F 16 16 1D 00 0B 1C 0F 00 0D 19 18 1E 0B 13 18 0F 0E 78	But spells are contained.
0011	00	11	00	8000	2054	2139	49 00 13 1D 00 1A 0B 1C 0B 16 23 24 0F 0E 78	<49> is paralyzed.
0012	00	12	00	8000	2139	2202	49 00 21 0B 15 0F 1D 00 1F 1A 78	<49> wakes up.
0013	00	13	00	8000	2202	2264	49 00 13 1D 00 0B 1D 16 0F 0F 1A 78	<49> is asleep.
0014	00	14	00	8000	2264	2338	49 00 13 1D 00 0D 19 18 10 1F 1D 0F 0E 78	<49> is confused.
0015	00	15	00	8000	2338	2497	49 00 0F 22 1A 13 1C 0F 1D 00 10 1C 19 17 00 0F 22 12 0B 1F 1D 1E 13 19 18 78 43 40	<49> expires from exhaustion.<43><40>
0016	00	16	00	8000	2497	2619	47 00 28 0B 17 0B 11 0F 00 34 19 13 18 1E 4C 00 1E 19 00 49 6E	<47> Damage Point<4C> to <49>!
0017	00	17	00	8000	2619	2750	49 00 11 0F 1E 1D 00 47 00 28 0B 17 0B 11 0F 00 34 19 13 18 1E 4C 6E	<49> gets <47> Damage Point<4C>!
0018	00	18	00	8000	2750	2846	28 19 0F 1D 18 6B 1E 00 21 19 1C 15 00 19 18 00 49 6E	Doesn't work on <49>!
0019	00	19	00	8000	2846	2947	49 00 0E 19 0F 1D 18 6B 1E 00 1A 0B 1D 1D 00 0B 21 0B 23 6E	<49> doesn't pass away!
001A	00	1A	00	8000	2947	3050	26 1F 1E 00 18 19 1E 12 13 18 11 00 12 0B 1A 1A 0F 18 1D 6E	But nothing happens!
001B	00	1B	00	8000	3050	3123	49 00 1A 0B 1D 1D 0F 1D 00 0B 21 0B 23 6E	<49> passes away!
001C	00	1C	00	8000	3123	3232	49 00 0F 22 1A 16 19 0E 0F 1D 00 13 18 1E 19 00 0C 13 1E 1D 6E	<49> explodes into bits!
001D	00	1D	00	8000	3232	3297	49 00 1C 1F 18 1D 00 0B 21 0B 23 6E	<49> runs away!
001E	00	1E	00	8000	3297	3404	49 6B 1D 00 34 0B 1C 1E 23 00 1C 1F 18 1D 00 0B 21 0B 23 6E	<49>'s Party runs away!
001F	00	1F	00	8000	3404	3496	26 1F 1E 00 49 00 13 1D 00 0B 1D 16 0F 0F 1A 6E 4B	But <49> is asleep!<4B>
0020	01	00	00	81B6	0	115	26 1F 1E 00 49 00 13 1D 00 1A 0B 1C 0B 16 23 24 0F 0E 6E 4B	But <49> is paralyzed!<4B>
0021	01	01	00	81B6	115	219	26 1F 1E 00 49 00 13 1D 00 0D 19 18 10 1F 1D 0F 0E 78 4B	But <49> is confused.<4B>
0022	01	02	00	81B6	219	375	49 6B 1D 00 0C 19 0E 23 00 0F 17 0B 18 0B 1E 0F 1D 00 0F 0F 1C 13 0F 00 16 13 11 12 1E 1D 6E 4B	<49>'s body emanates eerie lights!<4B>
0023	01	03	00	81B6	375	444	49 00 1C 19 16 16 1D 00 19 20 0F 1C 6E	<49> rolls over!
0024	01	04	00	81B6	444	578	49 00 13 1D 00 1D 12 0B 15 13 18 11 00 21 13 1E 12 00 16 0B 1F 11 12 1E 0F 1C 6E	<49> is shaking with laughter!
0025	01	05	00	81B6	578	725	49 00 13 1D 00 21 1C 13 1E 12 13 18 11 00 0B 10 1E 0F 1C 00 1E 1C 13 1A 1A 13 18 11 78	<49> is writhing after tripping.
0026	01	06	00	81B6	725	863	49 00 0D 0B 18 6B 1E 00 11 0F 1E 00 19 1F 1E 00 19 10 00 1E 12 0F 00 12 19 16 0F 6E 4B	<49> can't get out of the hole!<4B>
0027	01	07	00	81B6	863	962	49 00 10 1C 0F 0F 24 0F 1D 00 13 18 00 10 0F 0B 1C 6E 4B	<49> freezes in fear!<4B>
0028	01	08	00	81B6	962	1280	49 71 69 27 0B 18 00 2D 00 12 0B 20 0F 00 1D 19 17 0F 00 0D 19 13 18 1D 77 49 6D 00 2C 1F 12 6D 00 2D 1D 18 6B 1E 00 1E 12 13 1D 00 0B 00 0D 0B 1D 13 18 19 6D 6A 43 4B 4B 4B	<49>:'Can I have some coins,<49>? Huh? Isn't this a casino?'<43><4B><4B><4B>
0029	01	09	00	81B6	1280	1410	49 00 1D 0D 1C 0B 17 0C 16 0F 1D 00 13 18 1E 19 00 1E 12 0F 00 21 0B 11 19 18 6E	<49> scrambles into the wagon!
002A	01	0A	00	81B6	1410	1580	49 00 1D 12 19 20 0F 1D 00 49 6B 1D 00 11 12 19 1D 1E 00 13 18 1E 19 00 1E 12 0F 00 21 0B 11 19 18 6E 4B	<49> shoves <49>'s ghost into the wagon!<4B>
002B	01	0B	00	81B6	1580	1707	49 00 14 1F 17 1A 1D 00 19 1F 1E 00 19 10 00 1E 12 0F 00 21 0B 11 19 18 6E	<49> jumps out of the wagon!
002C	01	0C	00	81B6	1707	1895	49 00 0E 1C 0B 11 1D 00 19 1F 1E 00 49 6B 1D 00 11 12 19 1D 1E 00 10 1C 19 17 00 1E 12 0F 00 21 0B 11 19 18 78 4B	<49> drags out <49>'s ghost from the wagon.<4B>
002D	01	0D	00	81B6	1895	1972	49 00 12 19 16 0E 1D 00 1E 12 0F 00 48 6E	<49> holds the <48>!
002E	01	0E	00	81B6	1972	2045	49 00 13 1D 00 19 18 00 11 1F 0B 1C 0E 6E	<49> is on guard!
002F	01	0F	00	81B6	2045	2126	49 00 0D 19 17 0F 1D 00 1E 19 00 12 0F 16 1A 6E	<49> comes to help!
0030	01	10	00	81B6	2126	2257	49 00 0D 0B 16 16 1D 00 10 19 1C 00 1C 0F 13 18 10 19 1C 0D 0F 17 0F 18 1E 1D 6E	<49> calls for reinforcements!
0031	01	11	00	81B6	2257	2358	26 1F 1E 00 18 19 00 12 0F 16 1A 00 0B 1C 1C 13 20 0F 1D 6E	But no help arrives!
0032	01	12	00	81B6	2358	2489	49 00 13 1D 00 0B 1D 1D 0F 1D 1D 13 18 11 00 1E 12 0F 00 1D 13 1E 1F 0B 1E 13 19 18 78	<49> is assessing the situation.
0033	01	13	00	81B6	2489	2566	49 00 13 1D 00 10 16 1F 1D 1E 0F 1C 0F 0E 78	<49> is flustered.
0034	01	14	00	81B6	2566	2688	49 00 13 1D 00 0C 1F 13 16 0E 13 18 11 00 1F 1A 00 1A 19 21 0F 1C 78	<49> is building up power.
0035	01	15	00	81B6	2688	2794	49 00 1E 0B 15 0F 1D 00 0B 00 0E 0F 0F 1A 00 0C 1C 0F 0B 1E 12 6E	<49> takes a deep breath!
0036	01	16	00	81B6	2794	2914	49 00 17 0F 0E 13 1E 0B 1E 0F 1D 00 1D 13 16 0F 18 1E 16 23 78 4B 4B	<49> meditates silently.<4B><4B>
0037	01	17	00	81B6	2914	3048	49 6B 1D 00 21 19 1F 18 0E 1D 00 12 0F 0B 16 00 1C 0B 1A 13 0E 16 23 6E 4B	<49>'s wounds heal rapidly!<4B>
0038	01	18	00	81B6	3048	3176	49 6B 1D 00 0F 22 1A 1C 0F 1D 1D 13 19 18 00 0D 12 0B 18 11 0F 1D 6E 4B	<49>'s expression changes!<4B>
0039	01	19	00	81B6	3176	3259	49 00 11 0F 1E 1D 00 1D 0F 1C 13 19 1F 1D 6E 4B	<49> gets serious!<4B>
003A	01	1A	00	81B6	3259	3347	49 00 16 19 19 15 1D 00 1D 0D 0B 1C 0F 0E 6E 4B	<49> looks scared!<4B>
003B	01	1B	00	81B6	3347	3513	49 00 1F 1D 0F 1D 00 1F 1A 00 13 1E 1D 00 16 0B 1D 1E 00 19 1F 18 0D 0F 00 19 10 00 1A 19 21 0F 1C 6E 4B	<49> uses up its last ounce of power!<4B>
003C	01	1C	00	81B6	3513	3585	6E 6D 00 38 12 0F 00 49 1D 72 4B	!? The <49>s...<4B>
003D	01	1D	00	81B6	3585	3702	49 00 0E 0B 18 0D 0F 1D 00 0B 00 1D 1E 1C 0B 18 11 0F 00 0E 0B 18 0D 0F 6E	<49> dances a strange dance!
003E	01	1E	00	81B6	3702	3870	49 6B 1D 00 31 34 00 13 1D 00 16 19 21 0F 1C 0F 0E 00 0C 23 00 47 00 1A 19 13 18 1E 4C 6E	<49>'s MP is lowered by <47> point<4C>!
003F	01	1F	00	81B6	3870	4087	2A 1C 0F 0F 24 13 18 11 00 21 0B 20 0F 1D 00 1D 12 19 19 1E 00 19 1F 1E 00 10 1C 19 17 00 49 6B 1D 00 10 13 18 11 0F 1C 1D 6E 4B	Freezing waves shoot out from <49>'s fingers!<4B>
0040	02	00	00	83B5	0	6		
0041	02	01	00	83B5	6	76	38 1F 1C 18 1D 00 13 18 1E 19 00 49 6E	Turns into <49>!
0042	02	02	00	83B5	76	169	49 00 13 1D 00 14 0F 1C 15 0F 0E 00 0B 21 0B 23 6E	<49> is jerked away!
0043	02	03	00	83B5	169	240	49 00 13 1D 00 0E 0F 10 0F 0B 1E 0F 0E 6E	<49> is defeated!
0044	02	04	00	83B5	240	359	49 00 1E 1C 13 0F 1D 00 0B 00 0C 19 0E 23 00 0B 1E 1E 0B 0D 15 6E 4B	<49> tries a body attack!<4B>
0045	02	05	00	83B5	359	531	49 00 11 13 20 0F 1D 00 0B 00 12 13 0E 0F 19 1F 1D 77 1D 12 1C 13 0F 15 13 18 11 00 1C 19 0B 1C 6E 4B	<49> gives a hideous,shrieking roar!<4B>
0046	02	06	00	83B5	531	637	2D 1E 00 0E 19 0F 1D 18 6B 1E 00 21 19 1C 15 00 19 18 00 49 6E	It doesn't work on <49>!
0047	02	07	00	83B5	637	689	49 00 0D 19 21 0F 1C 1D 6E	<49> cowers!
0048	02	08	00	83B5	689	923	29 0F 1C 13 0F 00 17 13 1D 1E 1D 00 1D 1E 1C 0F 0B 17 00 19 1F 1E 00 19 10 00 49 00 0B 18 0E 00 0F 18 11 1F 16 10 00 1E 12 0F 00 0B 1C 0F 0B 6E 4B 4B	Eerie mists stream out of <49> and engulf the area!<4B><4B>
0049	02	09	00	83B5	923	1091	49 00 13 1D 00 0B 1E 1E 0B 0D 15 0F 0E 00 0C 1F 1E 00 13 1D 00 1D 0B 20 0F 0E 00 0C 23 00 49 6E 4B	<49> is attacked but is saved by <49>!<4B>
004A	02	0A	00	83B5	1091	1193	49 00 10 0B 16 16 1D 00 1F 18 0D 19 18 1D 0D 13 19 1F 1D 6E	<49> falls unconscious!
004B	02	0B	00	83B5	1193	1315	26 1F 1E 00 18 19 1E 12 13 18 11 00 12 0B 1A 1A 0F 18 1D 00 12 0F 1C 0F 6E	But nothing happens here!
004C	02	0C	00	83B5	1315	1372	49 00 0B 1E 1E 0B 0D 15 1D 6E	<49> attacks!
004D	02	0D	00	83B5	1372	1461	25 00 1E 0F 1C 1C 13 10 13 0D 00 0C 16 19 21 6E	A terrific blow!
004E	02	0E	00	83B5	1461	1548	25 00 1E 0F 1C 1C 13 0C 16 0F 00 0C 16 19 21 6E	A terrible blow!
004F	02	0F	00	83B5	1548	1767	38 12 0F 00 34 19 13 1D 19 18 00 32 0F 0F 0E 16 0F 00 1A 0F 18 0F 1E 1C 0B 1E 0F 1D 00 49 6B 1D 00 20 13 1E 0B 16 00 1D 1A 19 1E 6E 4B	The Poison Needle penetrates <49>'s vital spot!<4B>
0050	02	10	00	83B5	1767	1966	25 00 12 23 1A 18 19 1E 13 0D 00 1D 19 18 11 00 13 1D 00 12 0F 0B 1C 0E 00 10 1C 19 17 00 1D 19 17 0F 21 12 0F 1C 0F 72 78	A hypnotic song is heard from somewhere....
0051	02	11	00	83B5	1966	2190	25 00 0C 19 16 1E 00 19 10 00 16 13 11 12 1E 18 13 18 11 00 1D 12 19 19 1E 1D 00 19 1F 1E 00 10 1C 19 17 00 1E 12 0F 00 1D 1E 0B 10 10 6E 4B	A bolt of lightning shoots out from the staff!<4B>
0052	02	12	00	83B5	2190	2366	2A 13 1C 0F 0C 0B 16 16 1D 00 11 1F 1D 12 00 19 1F 1E 00 10 1C 19 17 00 1E 12 0F 00 1D 1E 0B 10 10 6E 4B	Fireballs gush out from the staff!<4B>
0053	02	13	00	83B5	2366	2520	29 0F 1C 13 0F 00 17 13 1D 1E 1D 00 1D 1F 1C 1C 19 1F 18 0E 00 1E 12 0F 00 0F 18 0F 17 23 6E 4B	Eerie mists surround the enemy!<4B>
0054	02	14	00	83B5	2520	2751	25 00 10 13 1C 0F 0C 0B 16 16 00 1D 12 19 19 1E 1D 00 19 1F 1E 00 10 1C 19 17 00 1E 12 0F 00 1E 13 1A 00 19 10 00 1E 12 0F 00 1D 1E 0B 10 10 6E 4B	A fireball shoots out from the tip of the staff!<4B>
0055	02	15	00	83B5	2751	2915	38 12 0F 00 1D 21 19 1C 0E 00 11 13 20 0F 1D 00 0B 00 11 12 0B 1D 1E 16 23 00 11 1C 19 0B 18 6E 4B	The sword gives a ghastly groan!<4B>
0056	02	16	00	83B5	2915	3071	26 16 13 18 0E 13 18 11 00 16 13 11 12 1E 1D 00 1D 12 13 18 0F 00 1F 1A 19 18 00 49 78 4B	Blinding lights shine upon <49>.<4B>
0057	02	17	00	83B5	3071	3190	49 00 0C 0F 0D 19 17 0F 1D 00 17 19 1C 0F 00 0D 19 18 10 1F 1D 0F 0E 6E	<49> becomes more confused!
0058	02	18	00	83B5	3190	3374	26 1F 1E 00 1E 12 0F 00 1D 13 1E 1F 0B 1E 13 19 18 00 12 0B 1D 18 6B 1E 00 0D 12 0B 18 11 0F 0E 00 0B 1E 00 0B 16 16 6E	But the situation hasn't changed at all!
0059	02	19	00	83B5	3374	3463	49 00 0E 19 0F 1D 18 6B 1E 00 1C 0F 20 13 20 0F 6E	<49> doesn't revive!
005A	02	1A	00	83B5	3463	3562	49 00 0E 19 0E 11 0F 1D 00 1E 12 0F 00 0C 1C 0F 0B 1E 12 6E	<49> dodges the breath!
005B	02	1B	00	83B5	3562	3746	26 1F 1E 00 1A 1F 16 16 0F 0E 00 0C 0B 0D 15 00 0C 23 00 0B 00 1D 1E 1C 0B 18 11 0F 00 10 19 1C 0D 0F 6E 4B	But pulled back by a strange force!<4B>
005C	02	1C	00	83B5	3746	3918	25 00 0C 16 13 24 24 0B 1C 0E 00 1C 19 0B 1C 1D 00 19 1F 1E 00 19 10 00 1E 12 0F 00 1D 21 19 1C 0E 6E	A blizzard roars out of the sword!
005D	02	1D	00	83B5	3918	4076	25 00 0C 16 0B 24 0F 00 1D 1E 1C 0F 0B 17 1D 00 19 1F 1E 00 19 10 00 1E 12 0F 00 1D 21 19 1C 0E 6E	A blaze streams out of the sword!
005E	02	1E	00	83B5	4076	4220	31 23 1D 1E 0F 1C 13 19 1F 1D 00 1D 19 1F 18 0E 1D 00 1C 0F 20 0F 1C 0C 0F 1C 0B 1E 0F 6E	Mysterious sounds reverberate!
005F	02	1F	00	83B5	4220	4356	37 1E 1C 0B 18 11 0F 00 1D 17 0F 16 16 1D 00 10 13 16 16 00 1E 12 0F 00 0B 1C 0F 0B 6E	Strange smells fill the area!
0060	03	00	00	85D6	0	14	44	<44>
0061	03	01	00	85D6	14	98	49 00 0E 13 0E 18 6B 1E 00 11 0F 1E 00 13 1E 6E	<49> didn't get it!
0062	03	02	00	85D6	98	184	49 00 0F 16 1F 0E 0F 1D 00 18 13 17 0C 16 23 6E	<49> eludes nimbly!
0063	03	03	00	85D6	184	280	49 00 21 0B 1D 18 6B 1E 00 21 0B 1E 0D 12 13 18 11 6E	<49> wasn't watching!
0064	03	04	00	85D6	280	363	49 00 14 1F 17 1A 1D 00 0C 0B 0D 15 6E	<49> jumps back!
0065	03	05	00	85D6	363	468	26 1F 1E 00 13 1D 00 14 1F 17 1A 0F 0E 00 19 20 0F 1C 6E	But is jumped over!
0066	03	06	00	85D6	468	592	49 00 1D 12 19 20 0F 1D 00 49 00 13 18 1E 19 00 1E 12 0F 00 21 0B 11 19 18 6E	<49> shoves <49> into the wagon!
0067	03	07	00	85D6	592	734	49 00 0E 1C 0B 11 1D 00 19 1F 1E 00 49 00 10 1C 19 17 00 1E 12 0F 00 21 0B 11 19 18 6E	<49> drags out <49> from the wagon!
0068	03	08	00	85D6	734	859	49 00 0C 1F 17 1A 1D 00 13 18 1E 19 00 1E 12 0F 00 0D 0F 13 16 13 18 11 6E	<49> bumps into the ceiling!
0069	03	09	00	85D6	859	1026	49 6B 1D 00 34 0B 1C 1E 23 00 0C 1F 17 1A 1D 00 13 18 1E 19 00 1E 12 0F 00 0D 0F 13 16 13 18 11 6E	<49>'s Party bumps into the ceiling!
006A	03	0A	00	85D6	1026	1113	25 16 0F 18 0B 00 0E 0F 10 0F 0B 1E 0F 0E 00 49 6E	Alena defeated <49>!
006B	03	0B	00	85D6	1113	1189	49 00 21 0B 1D 00 0E 0F 10 0F 0B 1E 0F 0E 78	<49> was defeated.
006C	03	0C	00	85D6	1189	1284	49 00 13 1D 00 0C 1C 19 1F 11 12 1E 00 0E 19 21 18 6E	<49> is brought down!
006D	03	0D	00	85D6	1284	1392	26 1F 1E 00 49 00 13 1D 00 13 18 00 1E 12 0F 00 21 0B 11 19 18 6E	But <49> is in the wagon!
006E	03	0E	00	85D6	1392	1488	26 1F 1E 00 49 00 13 1D 18 6B 1E 00 0B 16 13 20 0F 6E	But <49> isn't alive!
006F	03	0F	00	85D6	1488	1615	38 12 0F 1C 0F 6B 1D 00 18 19 00 19 18 0F 00 13 18 00 1E 12 0F 00 21 0B 11 19 18 6E	There's no one in the wagon!
0070	03	10	00	85D6	1615	1759	49 00 1D 1E 0B 1C 1E 1D 00 1C 0F 0B 0E 13 18 11 00 38 0B 1C 19 1E 00 27 0B 1C 0E 1D 6E	<49> starts reading Tarot Cards!
0071	03	11	00	85D6	1759	1909	26 1F 1E 00 49 00 0D 0B 18 6B 1E 00 1C 0F 0B 0E 00 38 0B 1C 19 1E 00 27 0B 1C 0E 1D 6E	But <49> can't read Tarot Cards!
0072	03	12	00	85D6	1909	2043	32 0B 1C 0B 00 0E 1C 0B 21 1D 00 1E 12 0F 00 27 0B 1C 0E 00 19 10 00 50 6E	Nara draws the Card of <50>!
0073	03	13	00	85D6	2043	2292	38 12 0F 00 0C 16 13 18 0E 13 18 11 00 16 13 11 12 1E 1D 00 19 10 00 2E 1F 1D 1E 13 0D 0F 00 1D 12 13 18 0F 00 1F 1A 19 18 00 1E 12 0F 00 0F 18 0F 17 23 6E	The blinding lights of Justice shine upon the enemy!
0074	03	14	00	85D6	2292	2401	49 6B 1D 00 17 19 1C 0B 16 0F 00 13 1D 00 0C 19 19 1D 1E 0F 0E 6E	<49>'s morale is boosted!
0075	03	15	00	85D6	2401	2639	29 20 13 16 00 17 13 1D 1E 1D 00 1A 19 1F 1C 00 10 1C 19 17 00 1E 12 0F 00 27 0B 1C 0E 00 0B 18 0E 00 0F 18 11 1F 16 10 00 1E 12 0F 00 0B 1C 0F 0B 6E	Evil mists pour from the Card and engulf the area!
0076	03	16	00	85D6	2639	2830	2B 16 13 1E 1E 0F 1C 13 18 11 00 38 12 19 1C 00 0B 1E 1E 0B 0D 15 1D 00 32 0B 1C 0B 6B 1D 00 11 1C 19 1F 1A 6E	Glittering Thor attacks Nara's group!
0077	03	17	00	85D6	2830	2986	49 00 0E 1C 0B 21 1D 00 1E 12 0F 00 27 0B 1C 0E 00 19 10 00 34 0F 1C 10 0F 0D 1E 13 19 18 6E	<49> draws the Card of Perfection!
0078	03	18	00	85D6	2986	3154	38 12 0F 00 17 19 19 18 16 13 11 12 1E 00 13 16 16 1F 17 13 18 0B 1E 0F 1D 00 1E 12 0F 00 0F 18 0F 17 23 6E	The moonlight illuminates the enemy!
0079	03	19	00	85D6	3154	3319	38 12 0F 00 1D 1F 18 16 13 11 12 1E 00 1D 12 13 18 0F 1D 00 1F 1A 19 18 00 1E 12 0F 00 0B 16 16 13 0F 1D 6E	The sunlight shines upon the allies!
007A	03	1A	00	85D6	3319	3514	25 00 0C 16 19 19 0E 6F 10 1C 0F 0F 24 13 18 11 00 0D 12 13 16 16 00 0B 1E 1E 0B 0D 15 1D 00 32 0B 1C 0B 6E	A blood-freezing chill attacks Nara!
007B	03	1B	00	85D6	3514	3732	38 12 0F 00 17 13 1C 1C 19 1C 00 1C 0F 10 16 0F 0D 1E 1D 00 1E 12 0F 00 13 17 0B 11 0F 00 19 10 00 0B 18 00 13 1C 19 18 00 0D 12 1F 18 15 6E	The mirror reflects the image of an iron chunk!
007C	03	1C	00	85D6	3732	3939	38 19 11 0F 1E 12 0F 1C 77 49 6B 1D 00 34 0B 1C 1E 23 00 1D 1E 0B 1C 1E 1D 00 0B 00 1C 0B 11 13 18 11 00 0C 16 0B 24 0F 6E	Together,<49>'s Party starts a raging blaze!
007D	03	1D	00	85D6	3939	4158	38 19 11 0F 1E 12 0F 1C 77 49 6B 1D 00 34 0B 1C 1E 23 00 1D 1F 17 17 19 18 1D 00 17 23 1D 1E 0F 1C 13 19 1F 1D 00 17 13 1D 1E 1D 6E	Together,<49>'s Party summons mysterious mists!
007E	03	1E	00	85D6	4158	4451	69 33 12 77 0D 0B 16 16 13 18 11 00 13 1E 00 1B 1F 13 1E 1D 6D 00 3D 19 1F 00 0E 19 18 6B 1E 00 17 13 18 0E 00 16 19 1D 13 18 11 00 23 19 1F 1C 00 21 0B 11 0F 1C 6D 6A	'Oh,calling it quits? You don't mind losing your wager?'
007F	03	1F	00	85D6	4451	4583	69 38 12 13 1D 00 0C 0B 1E 1E 16 0F 00 13 1D 00 1E 0F 1C 17 13 18 0B 1E 0F 0E 6C	'This battle is terminated.'
0080	04	00	00	8813	0	148	69 34 16 0F 0B 1D 0F 00 0F 18 14 19 23 00 1E 12 0F 00 18 0F 22 1E 00 0C 0B 1E 1E 16 0F 6C	'Please enjoy the next battle.'
0081	04	01	00	8813	148	300	69 3D 19 1F 6B 1C 0F 00 16 0F 0B 20 13 18 11 77 0B 1C 0F 18 6B 1E 00 23 19 1F 6D 6A	'You're leaving,aren't you?'
0082	04	02	00	8813	300	871	69 25 1E 1E 0F 18 1E 13 19 18 00 1A 16 0F 0B 1D 0F 6E 6A 44 69 3B 0F 00 0D 0B 16 16 00 1E 12 13 1D 00 17 0B 1E 0D 12 00 0B 00 0E 1C 0B 21 00 0E 1F 0F 00 1E 19 00 19 20 0F 1C 1E 13 17 0F 6C 44 69 3D 19 1F 1C 00 21 0B 11 0F 1C 1D 00 21 13 16 16 00 0C 0F 00 1C 0F 1E 1F 1C 18 0F 0E 78 29 18 14 19 23 00 1E 12 0F 00 18 0F 22 1E 00 17 0B 1E 0D 12 6E 6A	'Attention please!'<44>'We call this match a draw due to overtime.'<44>'Your wagers will be returned.Enjoy the next match!'
0083	04	03	00	8813	871	957	49 00 21 0B 1D 00 0B 00 17 13 1C 0B 11 0F 78 4B	<49> was a mirage.<4B>
0084	04	04	00	8813	957	1075	49 6B 1D 00 34 0B 1C 1E 23 00 21 0B 1D 00 0E 0F 10 0F 0B 1E 0F 0E 6E	<49>'s Party was defeated!
0085	04	05	00	8813	1075	1187	38 12 0F 00 30 13 18 11 1F 0B 1C 00 1D 1A 16 13 1E 1D 6E 4B	The Linguar splits!<4B>
0086	04	06	00	8813	1187	1334	32 0F 0D 1C 19 1D 0B 1C 19 6B 1D 00 0B 1C 17 00 0E 13 1D 0B 1A 1A 0F 0B 1C 1D 6E 4B	Necrosaro's arm disappears!<4B>
0087	04	07	00	8813	1334	1484	32 0F 0D 1C 19 1D 0B 1C 19 6B 1D 00 12 0F 0B 0E 00 0E 13 1D 0B 1A 1A 0F 0B 1C 1D 6E 4B	Necrosaro's head disappears!<4B>
0088	04	08	00	8813	1484	1692	32 0F 0D 1C 19 1D 0B 1C 19 6B 1D 00 0C 0F 16 16 23 00 21 1C 13 1E 12 0F 1D 00 11 1C 19 1E 0F 1D 1B 1F 0F 16 23 72 78 4B	Necrosaro's belly writhes grotesquely....<4B>
0089	04	09	00	8813	1692	1822	32 0F 0D 1C 19 1D 0B 1C 19 00 0D 12 0B 18 1E 1D 00 26 19 1F 18 0D 0F 6E 4B	Necrosaro chants Bounce!<4B>
008A	04	0A	00	8813	1822	1930	49 00 0F 17 0F 1C 11 0F 1D 00 1E 12 0F 00 21 13 18 18 0F 1C 6E 4B	<49> emerges the winner!<4B>
008B	04	0B	00	8813	1930	1936		
008C	04	0C	00	8813	1936	1942		
008D	04	0D	00	8813	1942	1948		
008E	04	0E	00	8813	1948	1954		
008F	04	0F	00	8813	1954	1960		
0090	04	10	00	8813	1960	1966		
0091	04	11	00	8813	1966	1972		
0092	04	12	00	8813	1972	1978		
0093	04	13	00	8813	1978	1984		
0094	04	14	00	8813	1984	1990		
0095	04	15	00	8813	1990	1996		
0096	04	16	00	8813	1996	2002		
0097	04	17	00	8813	2002	2008		
0098	04	18	00	8813	2008	2014		
0099	04	19	00	8813	2014	2020		
009A	04	1A	00	8813	2020	2026		
009B	04	1B	00	8813	2026	2032		
009C	04	1C	00	8813	2032	2038		
